pre,temp,sault,density
99.4,19.846,34.741,24.60939588
109.2,19.849,34.741,24.60908237
119,19.847,34.74,24.6093141
128.6,19.852,34.74,24.60846831
139.4,19.854,34.74,24.60846532
148.9,19.856,34.74,24.60839997
159.1,19.85,34.741,24.61122366
169.2,19.85,34.75,24.61857788
179,19.831,34.756,24.6285944
189.3,19.67,34.78,24.68936054
199.3,19.239,34.819,24.8308583
209.2,18.667,34.808,24.96808922
219.3,18.303,34.778,25.0364861
229.5,18.228,34.768,25.047856
239.3,18.04,34.764,25.09157638
249.3,17.875,34.763,25.13166647
259.5,17.707,34.761,25.17147931
269.4,17.441,34.742,25.22159047
279,17.223,34.73,25.26497197
289.3,17.005,34.722,25.31101196
299.4,16.774,34.7,25.34889958
309.6,16.535,34.68,25.38968082
319.1,16.363,34.685,25.4336858
329.1,16.167,34.663,25.46216669
339.3,16.098,34.664,25.47907716
349.5,15.967,34.656,25.50310424
359.1,15.604,34.633,25.5675144
369.1,15.365,34.619,25.61025102
379.4,15.276,34.613,25.62564565
389.4,14.864,34.587,25.69599232
399.2,14.74,34.579,25.71693508
429.4,14.063,34.536,25.82838235
459.2,13.535,34.505,25.91432083
489.1,12.498,34.439,26.0702379
519.2,11.668,34.371,26.17558843
549.4,10.442,34.286,26.32983542
579.2,9.552,34.222,26.43025657
609.2,8.105,34.13,26.58430704
639.4,7.38,34.094,26.66095203
669.4,6.686,34.07,26.73699836
699.2,5.462,33.97,26.81167465
728.9,4.837,33.944,26.86291743
759.4,4.655,33.968,26.90221901
789.2,4.54,33.989,26.93158355
819.3,4.043,33.983,26.97892265
849.6,3.983,34.048,27.03695277
879.1,3.911,34.114,27.09694924
908.9,3.889,34.143,27.12247349
938.9,3.948,34.186,27.15103894
969.2,3.832,34.218,27.18834756
999.3,3.843,34.271,27.22970468
1099.3,3.476,34.333,27.31557897
1199.4,3.155,34.384,27.38688846
1299.4,2.965,34.413,27.42784974
1398.8,2.761,34.452,27.47755113
4.2,18.914,34.779,24.87432341
9.4,18.916,34.779,24.87404897
14.4,18.915,34.779,24.87452782
19.2,18.917,34.779,24.87423554
24.4,18.917,34.78,24.87523386
29,18.918,34.779,24.87442233
34.4,18.919,34.779,24.87441129
39.3,18.92,34.779,24.87437782
44,18.92,34.779,24.87458941
49,18.921,34.78,24.875325
54.5,18.922,34.779,24.87455429
59.1,18.922,34.78,24.87552597
64.3,18.92,34.779,24.87550373
68.9,18.921,34.78,24.87622153
74.1,18.923,34.78,24.87594805
78.7,18.923,34.779,24.875391
89.3,18.926,34.78,24.8758718
99.3,18.927,34.779,24.8753047
109,18.93,34.779,24.87498099
